model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
two_stage,1968,2.1223958333333335,1.6791666666666667,1.9166666666666667,2.3333333333333335,2.5,0.5659722222222222,0.4477777777777778,0.5111111111111111,0.6222222222222222,0.6666666666666666,2.0,0.5333333333333333
two_stage,1970,3.1979166666666665,2.572222222222222,2.888888888888889,3.5555555555555554,3.888888888888889,0.6395833333333333,0.5144444444444444,0.5777777777777777,0.7111111111111111,0.7777777777777778,3.3333333333333335,0.6666666666666666
two_stage,1972,3.074519230769231,2.473076923076923,2.923076923076923,3.3076923076923075,3.6038461538461535,0.8881944444444444,0.7144444444444444,0.8444444444444444,0.9555555555555556,1.041111111111111,3.4615384615384617,1.0
two_stage,1975,2.5833333333333335,2.1433333333333335,2.3333333333333335,2.75,3.1133333333333324,0.8611111111111112,0.7144444444444444,0.7777777777777778,0.9166666666666666,1.0377777777777777,3.0,1.0
two_stage,1977,2.6049107142857144,2.1535714285714285,2.357142857142857,2.732142857142857,3.1321428571428567,0.8104166666666667,0.6699999999999999,0.7333333333333333,0.85,0.9744444444444443,3.2142857142857144,1.0
two_stage,1979,2.913194444444444,2.238888888888889,2.5555555555555554,3.25,3.5555555555555554,0.5826388888888889,0.4477777777777778,0.5111111111111111,0.65,0.7111111111111111,2.888888888888889,0.5777777777777777
two_stage,1981,1.8207720588235294,1.5294117647058822,1.7058823529411764,1.9411764705882353,2.1176470588235294,0.6878472222222222,0.5777777777777777,0.6444444444444445,0.7333333333333333,0.8,2.0588235294117645,0.7777777777777778
two_stage,1983,2.04375,1.5,1.8,2.3,2.5,0.45416666666666666,0.3333333333333333,0.4,0.5111111111111111,0.5555555555555556,2.4,0.5333333333333333
two_stage,1985,1.9306640625,1.5625,1.75,2.125,2.25,0.6864583333333333,0.5555555555555556,0.6222222222222222,0.7555555555555555,0.8,1.875,0.6666666666666666
two_stage,1987,1.910300925925926,1.635185185185185,1.7777777777777777,2.0,2.211111111111111,1.1461805555555555,0.981111111111111,1.0666666666666667,1.2,1.3266666666666664,2.5185185185185186,1.511111111111111
two_stage,1989,2.3203125,1.946875,2.125,2.5,2.75,0.825,0.6922222222222222,0.7555555555555555,0.8888888888888888,0.9777777777777777,2.875,1.0222222222222221
two_stage,1991,2.245703125,2.075,2.14375,2.325,2.525,1.9961805555555556,1.8444444444444446,1.9055555555555557,2.066666666666667,2.2444444444444445,2.35,2.088888888888889
two_stage,1992,2.4026785714285714,2.1757142857142857,2.3142857142857145,2.492857142857143,2.5714285714285716,1.86875,1.6922222222222223,1.8,1.9388888888888889,2.0,2.4857142857142858,1.9333333333333333
two_stage,1994,2.3198784722222223,2.0597222222222222,2.1875,2.4444444444444446,2.6027777777777774,1.8559027777777777,1.6477777777777778,1.75,1.9555555555555555,2.082222222222222,2.6944444444444446,2.1555555555555554
two_stage,1995,2.2516447368421053,2.1315789473684212,2.1842105263157894,2.3157894736842106,2.3947368421052633,1.9013888888888888,1.8,1.8444444444444446,1.9555555555555555,2.022222222222222,2.263157894736842,1.9111111111111112
two_stage,1996,2.8048986486486487,2.4716216216216216,2.7567567567567566,2.918918918918919,3.05,2.30625,2.0322222222222224,2.2666666666666666,2.4,2.5077777777777777,3.3513513513513513,2.7555555555555555
two_stage,1997,2.8834134615384617,2.6153846153846154,2.7948717948717947,3.0256410256410255,3.1243589743589744,2.4989583333333334,2.2666666666666666,2.422222222222222,2.6222222222222222,2.707777777777778,3.1025641025641026,2.688888888888889
two_stage,1998,2.4443359375,2.21875,2.34375,2.5390625,2.6875,1.7381944444444444,1.5777777777777777,1.6666666666666667,1.8055555555555556,1.9111111111111112,2.75,1.9555555555555555
two_stage,1999,2.7599085365853657,2.5365853658536586,2.658536585365854,2.8780487804878048,3.020731707317073,2.5145833333333334,2.311111111111111,2.422222222222222,2.6222222222222222,2.752222222222222,3.7560975609756095,3.422222222222222
two_stage,2001,2.154166666666667,1.9,2.033333333333333,2.3,2.3666666666666667,1.4361111111111111,1.2666666666666666,1.3555555555555556,1.5333333333333334,1.5777777777777777,2.3333333333333335,1.5555555555555556
two_stage,2002,2.6053571428571427,2.3714285714285714,2.4857142857142858,2.7285714285714286,2.8814285714285712,2.026388888888889,1.8444444444444446,1.9333333333333333,2.1222222222222222,2.241111111111111,3.3714285714285714,2.6222222222222222
